state_abbrev,year,scenario_name,forecast_baseline,forecast_scenario,delta,forecast_interval_low,forecast_interval_high
NC,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.4739985679915875,2.5238459650712213,0.049847397079633815,-0.1967695525188664,5.244461482661309
ND,2023,tax_plus_0.10_and_enforcement_plus1_v3,3.8702446683185463,4.023953518904969,0.15370885058642303,1.3033380013148816,6.744569036495057
NE,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.430952276019585,2.4352211564872506,0.004268880467665603,-0.2853943611028371,5.155836674077339
NH,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.3410700384598147,2.393326053869711,0.05225601540989633,-0.3272894637203767,5.113941571459799
NJ,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.733364336252786,2.4577540421976853,0.7243897059448994,-0.26286147539240234,5.1783695597877735
NM,2023,tax_plus_0.10_and_enforcement_plus1_v3,6.245440908959774,6.188909568708042,-0.05653134025173223,3.4682940511179545,8.90952508629813
NV,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.515907502070556,2.123928500289733,0.6080209982191771,-0.5966870173003547,4.844544017879821
NY,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.378154862040346,1.8216758285001642,0.4435209664598181,-0.8989396890899235,4.542291346090252
OH,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.6768022021715,2.4592290889757953,-0.2175731131957046,-0.2613864286142924,5.179844606565883
OK,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.574501658035657,2.5789888683336994,0.004487210298042665,-0.14162664925638824,5.299604385923788
OR,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.5585360679593152,2.010657618109104,0.45212155014978883,-0.7099578994809836,4.731273135699192
PA,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.9934685126741536,2.350065116504952,0.3565966038307986,-0.3705504010851355,5.07068063409504
RI,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.0033680955876703,2.5969087258049237,0.5935406302172535,-0.12370679178516397,5.317524243395011
SC,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.714293534893747,2.650870897017368,-0.06342263787637892,-0.06974462057271946,5.371486414607456
SD,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.3703690695870483,2.3215785789993673,-0.048790490587681035,-0.3990369385907204,5.042194096589455
TN,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.6975770393928538,2.6653804058751107,-0.032196633517743045,-0.05523511171497697,5.385995923465199
TX,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.4411025609761916,2.250876192317974,-0.19022636865821774,-0.4697393252721138,4.9714917099080616
UT,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.321784099489237,2.2808625811186833,-0.04092151837055358,-0.43975293647140434,5.0014780987087715
VA,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.482877246560207,2.3668898899451993,-0.11598735661500781,-0.35372562764488835,5.0875054075352875
VT,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.507083261505966,2.5679716486921165,0.06088838718615053,-0.1526438688979712,5.288587166282204
WA,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.273038078496447,2.3105918454299705,0.03755376693352375,-0.41002367216011715,5.031207363020059
WI,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.1869540572873896,1.988332184353275,-0.19862187293411449,-0.7322833332368126,4.708947701943362
WV,2023,tax_plus_0.10_and_enforcement_plus1_v3,3.040846627202788,2.7575125198700348,-0.2833341073327533,0.03689700227994708,5.478128037460122
WY,2023,tax_plus_0.10_and_enforcement_plus1_v3,7.27922135710269,7.445512776948926,0.1662914198462362,4.724897259358839,10.166128294539014
